标题,url,已更新章节数,更新频率（天）,读者数,评论数,最后更新时间,作品类型,总评分,别名（中文名）,标签,作者,平台,是否翻译完成
"Mistress, I Want It~",https://www.novelupdates.com/series/mistress-i-want-it/,15,75.3,1103,13,06-22-2020,"['Completed', 'Drama', 'Romance', 'Tragedy', 'Xianxia', 'Yuri']",4.2,家主，我想要嘛～,"['Abusive Characters', 'Beautiful Female Lead', 'Betrayal', 'Black Belly', 'Cold Love Interests', 'Cultivation', 'Demonic Cultivation Technique', 'Depictions of Cruelty', 'Protagonist Falls in Love First', 'Protagonist Strong from the Start', 'Reincarnation', 'Ruthless Protagonist', 'Second Chance', 'Shameless Protagonist', 'Short Story', 'Strong Love Interests']",也许陌生了,jjwxc,Yes
My Wandering Spirit Lady,https://www.novelupdates.com/series/my-wandering-spirit-lady/,4,268.5,1145,7,06-27-2020,"['Drama', 'Romance', 'Supernatural', 'Yuri']",4.5,我的游魂小姐,"['Amnesia', 'Calm Protagonist', 'Cautious Protagonist', 'Character Growth', 'Clever Protagonist', 'Couple Growth', 'Dead Protagonist', 'Death', 'Devoted Love Interests', 'Doting Parents', 'Eye Powers', 'Fated Lovers', 'Female Protagonist', 'Ghosts', 'Hell', 'Kind Love Interests', 'Lawyers', 'Loner Protagonist', 'Modern Day', 'Naive Protagonist', 'Reincarnation', 'Souls', 'Special Abilities', 'Spirits']",请君莫笑,jjwxc,No
When I Fell For You,https://www.novelupdates.com/series/when-i-fell-for-you/,1,935,254,3,10-10-2020,"['Drama', 'Romance', 'School Life', 'Yuri']",4.1,当我爱上你,"['Determined Protagonist', 'Devoted Love Interests', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Short Story', 'Slow Romance']",魅骨,jjwxc,No
Don’t Say You’re Heartless,https://www.novelupdates.com/series/dont-say-youre-heartless/,2,479.5,343,6,09-23-2020,"['Drama', 'Harem', 'Historical', 'Mature', 'Romance', 'Yuri']",4.4,莫道无心,"['Ancient China', 'Beautiful Female Lead', 'Black Belly', 'Bodyguards', 'Schemes And Conspiracies', 'Strong Love Interests', 'Transmigration']",敛舟,jjwxc,No
The Warmhearted You,https://www.novelupdates.com/series/the-warmhearted-you/,21,81.3,1047,8,01-04-2020,"['Completed', 'Romance', 'School Life', 'Slice of Life', 'Yuri']",4.2,温柔的你GL,"['Beautiful Female Lead', 'College/University', 'Devoted Love Interests', 'Heartwarming', 'Modern Day', 'Short Story', 'Younger Love Interests']",讨酒的叫花子,jjwxc,Yes
My Death God Roommate,https://www.novelupdates.com/series/my-death-god-roommate/,0,930,1045,2,N/A,"['Romance', 'Supernatural', 'Yuri']",3.9,我的死神室友,"['Calm Protagonist', 'Death', 'Devoted Love Interests', 'Ghosts', 'Modern Day', 'Reincarnation', 'Special Abilities']",请君莫笑,jjwxc,No
Mary Sue Does Not Stick to the Plot,https://www.novelupdates.com/series/mary-sue-does-not-stick-to-the-plot/,3,399.7,438,2,02-07-2020,"['Comedy', 'Romance', 'Yuri']",4.3,玛丽苏她不走套路,"['Beautiful Female Lead', 'Interdimensional Travel', 'Modern Day', 'Short Story', 'System Administrator']",黎明苏打子,jjwxc,No
Female General And Eldest Princess,https://www.novelupdates.com/series/female-general-and-eldest-princess/,18,80.5,5043,73,01-12-2020,"['Completed', 'Action', 'Drama', 'Martial Arts', 'Romance', 'Yuri']",4.5,女将军和长公主,"['Adapted to Drama CD', 'Adapted to Manhua', 'Adopted Children', 'Ancient China', 'Archery', 'Army', 'Arranged Marriage', 'Beautiful Female Lead', 'Brotherhood', 'Calm Protagonist', 'Caring Protagonist', 'Cautious Protagonist', 'Character Growth', 'Childcare', 'Clever Protagonist', 'Cold Love Interests', 'Cross-dressing', 'Death of Loved Ones', 'Determined Protagonist', 'Devoted Love Interests', 'Fated Lovers', 'Friendship', 'Generals', 'Gore', 'Hard-Working Protagonist', 'Harsh Training', 'Hiding True Identity', 'Leadership', 'Loyal Subordinates', 'Marriage', 'Military', 'Misunderstandings', 'Persistent Love Interests', 'Politics', 'Power Couple', 'Power Struggle', 'Protagonist Falls in Love First', 'Royalty', 'Schemes And Conspiracies', 'Selfless Protagonist', 'Slow Romance', 'Smart Couple', 'Soldiers', 'Strategic Battles', 'Strong to Stronger', 'Time Skip', 'Unconditional Love', 'Unrequited Love', 'Wars']",请君莫笑,jjwxc,Yes
"Marry First, Love Later",https://www.novelupdates.com/series/marry-first-love-later/,15,78.9,1513,14,02-15-2020,"['Completed', 'Romance', 'Slice of Life', 'Yuri']",4.1,先婚后爱,"['Beautiful Female Lead', 'Blind Dates', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Famous Protagonist', 'First Love', 'Heartwarming', 'Marriage', 'Modern Day', 'Older Love Interests', 'Short Story']",九千胜,jjwxc,Yes
This Generation’s Genius,https://www.novelupdates.com/series/this-generations-genius/,0,2000,205,1,N/A,"['Completed', 'Psychological', 'Yuri']",3.2,一代呱颜倾城色,"['Female Protagonist', 'Masochistic Characters', 'Oneshot', 'Sadistic Characters']",梦.千航,jjwxc,Yes
Transformed into a Gorgeous Beauty,https://www.novelupdates.com/series/transformed-into-a-gorgeous-beauty/,2,577.5,448,1,03-15-2020,"['Gender Bender', 'Harem', 'Mecha', 'School Life', 'Sci-fi', 'Slice of Life', 'Yuri']",3,变身倾城美女,"['Female Protagonist', 'Hiding True Abilities', 'Hiding True Identity', 'Male to Female', 'Multiple Personalities', 'Netorare']",❤Sweet灬Dream❤,SFACG,No
Scheming Villainess’s Counterattack?,https://www.novelupdates.com/series/scheming-villainesss-counterattack/,9,138.2,951,5,03-04-2020,"['Completed', 'Comedy', 'Romance', 'School Life', 'Slice of Life', 'Yuri']",3.9,心机女配的逆袭？,"['Beautiful Female Lead', 'Black Belly', 'Dense Protagonist', 'Doting Love Interests', 'Female Protagonist', 'Heartwarming', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Naive Protagonist', 'Second Chance', 'Short Story', 'Tsundere', 'Villainess Noble Girls']",['Pander'],jjwxc,Yes
"Stranded on a Deserted Island, What to Do?",https://www.novelupdates.com/series/stranded-on-a-deserted-island-what-to-do/,3,363.3,454,2,05-13-2020,"['Adventure', 'Fantasy', 'Romance', 'Shoujo Ai', 'Yuri']",4.6,流落荒岛怎么办？,"['Aristocracy', 'Devoted Love Interests', 'Different Social Status', 'Guideverse', 'Loyal Subordinates', 'Pregnancy', 'Strong Love Interests', 'Survival', 'Tsundere']",柳碎夜,jjwxc,No
The Guide to the Peak of Quick Transmigration,https://www.novelupdates.com/series/the-guide-to-the-peak-of-quick-transmigration/,30,76.6,610,3,04-26-2020,"['Adventure', 'Fantasy', 'Romance', 'Supernatural', 'Yuri']",3.6,快穿之绝顶攻略,"['Appearance Different from Actual Age', 'Beautiful Female Lead', 'Devoted Love Interests', 'Female Protagonist', 'Love Interest Falls in Love First', 'Omegaverse', 'System Administrator', 'World Hopping']",葬心未亡人,jjwxc,No
Forced to Become The CEO,https://www.novelupdates.com/series/forced-to-become-the-ceo/,3,364,378,2,05-17-2020,"['Drama', 'Romance', 'Yuri']",4.1,被迫出任CEO[娱乐圈],"['Acting', 'Beautiful Female Lead', 'Body Swap', 'Celebrities', 'Cold Love Interests', 'Contracts', 'Doting Love Interests', 'Female Protagonist', 'Love Interest Falls in Love First', 'Marriage of Convenience', 'Modern Day', 'Wealthy Characters', 'Younger Brothers']",盛郸,jjwxc,No
Clear and Muddy Loss of Love,https://www.novelupdates.com/series/clear-and-muddy-loss-of-love/,33,72.8,3437,63,05-14-2020,"['Completed', 'Drama', 'Martial Arts', 'Romance', 'Yuri']",4.6,泾渭情殇,"['Adapted to Drama CD', 'Adopted Children', 'Ancient China', 'Arranged Marriage', 'Beautiful Female Lead', 'Calm Protagonist', 'Character Growth', 'Childcare', 'Clever Protagonist', 'Conflicting Loyalties', 'Cross-dressing', 'Cunning Protagonist', 'Death of Loved Ones', 'Devoted Love Interests', 'Enemies Become Lovers', 'Kind Love Interests', 'Marriage', 'Misunderstandings', 'Persistent Love Interests', 'Polite Protagonist', 'Politics', 'Revenge', 'Royalty', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Slow Romance', 'Strong to Stronger', 'Unconditional Love', 'Wars', 'Younger Sisters']",请君莫笑,jjwxc,Yes
Childhood Sweethearts (Ye Se),https://www.novelupdates.com/series/childhood-sweethearts/,2,542.5,355,1,05-10-2020,"['Comedy', 'School Life', 'Slice of Life', 'Yuri']",3.8,青梅竹马(GL),"['Character Growth', 'Childhood Friends', 'Childhood Love', 'Devoted Love Interests', 'Slow Romance']",叶涩,jjwxc,No
Living in the Last Days,https://www.novelupdates.com/series/living-in-the-last-days/,22,90,668,4,01-02-2020,"['Drama', 'Romance', 'Supernatural', 'Yuri']",4,末世之活着,"['Apocalypse', 'Beautiful Female Lead', 'Devoted Love Interests', 'Doting Love Interests', 'Love Interest Falls in Love First', 'Modern Day', 'Revenge', 'Second Chance', 'Strong Love Interests', 'Zombies']",满城时光,jjwxc,No
Next Door There’s Memeda,https://www.novelupdates.com/series/next-door-theres-memeda/,0,1220,646,5,N/A,"['Completed', 'Comedy', 'Romance', 'Yuri']",4.3,隔壁有个么么哒,"['Beautiful Female Lead', 'Chat Rooms', 'Child Abuse', 'Dense Protagonist', 'Devoted Love Interests', 'Famous Protagonist', 'Heartwarming', 'Modern Day', 'Roommates', 'Short Story', 'Voice Actors', 'Writers']",瞳师,jjwxc,Yes
This Princess Punishes Your Nine Generations,https://www.novelupdates.com/series/this-princess-punishes-your-nine-generations/,0,1274,638,7,N/A,"['Completed', 'Comedy', 'Fantasy', 'Historical', 'Romance', 'Yuri']",3.9,本宫诛你九族,"['Ancient China', 'Beautiful Female Lead', 'Cross-dressing', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Familial Love', 'Heartwarming', 'Military', 'Nobles', 'Politics', 'Royalty', 'Short Story', 'Strong Love Interests']",凤崎舞,jjwxc,Yes
"Female Lead, Please Let Go of the White Moonlight",https://www.novelupdates.com/series/female-lead-please-let-go-of-the-white-moonlight/,4,316.5,712,5,12-21-2019,"['Adventure', 'Comedy', 'Fantasy', 'Historical', 'Romance', 'School Life', 'Yuri']",4.1,女主，请放过白月光[快穿],"['Ancient China', 'Beautiful Female Lead', 'Doting Love Interests', 'Episodic', 'Female Protagonist', 'Interdimensional Travel', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Realms', 'Possessive Characters', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'World Hopping', 'Yandere']",木子箐,jjwxc,No
Why Do Yandere Girls Like To Find Me?,https://www.novelupdates.com/series/why-do-yandere-girls-like-to-find-me/,9,249.1,709,1,04-27-2019,"['Harem', 'Romance', 'School Life', 'Yuri']",3.9,为什么病娇妹纸都找我,"['Abusive Characters', 'Possessive Characters', 'Reincarnation', 'Yandere']",朦胧春月,SFACG,No
Who Moved My Ashes,https://www.novelupdates.com/series/who-moved-my-ashes/,0,83.7,1946,23,N/A,"['Comedy', 'Drama', 'Romance', 'Shoujo Ai', 'Slice of Life', 'Yuri']",4.6,谁动了我的骨灰坛[重生],"['Beautiful Female Lead', 'Business Management', 'Death', 'Death of Loved Ones', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'First Love', 'Ghosts', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Day', 'Second Chance', 'Secrets', 'Short Story', 'Unconditional Love']",思镜渠,jjwxc,No
The General’s Manor Young Concubine Survival Report,https://www.novelupdates.com/series/the-generals-manor-young-concubine-survival-report/,14,117.9,2636,23,07-23-2019,"['Completed', 'Comedy', 'Historical', 'Romance', 'Yuri']",4.2,将军府小妾生存报告,"['Ancient China', 'Beautiful Female Lead', 'Cold Love Interests', 'Cute Protagonist', 'Doting Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Generals', 'Heartwarming', 'Honest Protagonist', 'Lack of Common Sense', 'Military', 'Misunderstandings', 'Naive Protagonist', 'Politics', 'Protagonist Falls in Love First', 'Shameless Protagonist', 'Short Story', 'Strong Love Interests', 'Transmigration', 'Villainess Noble Girls']",风的铃铛,jjwxc,Yes
Quick Transmigration: Fate Trading System,https://www.novelupdates.com/series/quick-transmigration-fate-trading-system/,83,51.1,2455,11,06-18-2019,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural', 'Yuri']",4,快穿之命运交易系统,"['Ancient Times', 'Assassins', 'Beautiful Female Lead', 'Calm Protagonist', 'Cold Love Interests', 'Dense Protagonist', 'Devoted Love Interests', 'Interdimensional Travel', 'Love Interest Falls in Love First', 'Multiple Realms', 'Royalty', 'Strong Love Interests', 'System Administrator', 'Unconditional Love', 'World Hopping', 'Yandere']",小吾君,jjwxc,No
"Don’t Be Jealous, I Will Bend Myself",https://www.novelupdates.com/series/dont-be-jealous-i-will-bend-myself/,0,1309,2000,19,N/A,"['Adventure', 'Comedy', 'Romance', 'Yuri']",4.3,别掰，我自己会弯gl,"['Ancient China', 'Beautiful Female Lead', 'Childhood Friends', 'Childhood Love', 'Devoted Love Interests', 'Doting Love Interests', 'Episodic', 'Interdimensional Travel', 'Naive Protagonist', 'Possessive Characters', 'Shameless Protagonist', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'World Hopping', 'Writers', 'Yandere']",兮木萧萧,jjwxc,No
Facing You,https://www.novelupdates.com/series/facing-you/,0,1706,434,3,N/A,"['Completed', 'Romance', 'Yuri']",4,在你面前,"['Abusive Characters', 'Child Abuse', 'Doctors', 'Manipulative Characters', 'Modern Day', 'Short Story', 'Yandere']",九数,Yamibo,Yes
Beauty Manufacturing System,https://www.novelupdates.com/series/beauty-manufacturing-system/,3,451,422,0,12-23-2019,"['Adventure', 'Romance', 'School Life', 'Yuri']",3.7,快穿之美人制造系统,"['Beautiful Female Lead', 'Interdimensional Travel', 'Modern Day', 'System Administrator', 'Transmigration', 'World Hopping']",沾花公子,jjwxc,No
Transformed into the DC World,https://www.novelupdates.com/series/transformed-into-the-dc-world/,3,552.7,350,0,10-16-2018,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gender Bender', 'Martial Arts', 'Supernatural', 'Yuri']",2.9,变身在DC世界,"['Fanfiction', 'Fantasy World', 'Magic', 'Male to Female', 'Transmigration', 'Transported to Another World']",想静静的顿河,Qidian,No
Niu Fei Zai Xia,https://www.novelupdates.com/series/niu-fei-zai-xia/,3,635,540,2,01-29-2019,"['Action', 'Comedy', 'Fantasy', 'Gender Bender', 'Harem', 'Historical', 'Martial Arts', 'Xuanhuan', 'Yuri']",3.9,妞非在下,"['Male to Female', 'Shameless Protagonist', 'Transmigration']",月下小羊,Qidian,No
As an Otaku Me Met a Yandere Her,https://www.novelupdates.com/series/as-an-otaku-me-met-a-yandere-her/,11,171.9,649,3,12-28-2018,"['Completed', 'Comedy', 'Ecchi', 'Yuri']",3.2,身为宅女的我遇到病娇的她,"['BDSM', 'Possessive Characters', 'R*pe', 'Short Story', 'Yandere']",挚爱喀秋莎得小朦胧,SFACG,Yes
Didn’t Know General Was Female,https://www.novelupdates.com/series/didnt-know-general-was-female/,2,804,2263,16,12-12-2018,"['Comedy', 'Fantasy', 'Romance', 'Yuri']",4.3,不知将军是女郎[重生],"['Ancient China', 'Cross-dressing', 'Cute Protagonist', 'Cute Story', 'Devoted Love Interests', 'Doting Love Interests', 'Generals', 'Heartwarming', 'Love Interest Falls in Love First', 'Politics', 'Reincarnation', 'Second Chance', 'Strong Love Interests', 'Time Skip', 'Unconditional Love']",不谢梅,jjwxc,No
